source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0009893,positive regulation of metabolic process,1.1842949667353041e-32,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3410,7396,1523,20972,0.20592212006489993,0.4466275659824047,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']"
GO:BP,GO:0001775,cell activation,2.1538812386831698e-32,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",1123,7396,593,20972,0.08017847485127096,0.5280498664292075,query_1,"['GO:0009987', 'GO:0032501']"
GO:BP,GO:0006996,organelle organization,8.172295342321546e-32,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",3573,7396,1582,20972,0.2138994050838291,0.4427651833193395,query_1,['GO:0016043']
GO:BP,GO:0009966,regulation of signal transduction,4.4591691838417695e-31,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",3031,7396,1367,20972,0.18482963764196864,0.4510062685582316,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']"
GO:BP,GO:0051252,regulation of RNA metabolic process,5.123689945267202e-30,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",3654,7396,1604,20972,0.21687398593834506,0.4389709906951286,query_1,"['GO:0016070', 'GO:0019219', 'GO:0060255']"
GO:BP,GO:0045321,leukocyte activation,6.403960687178973e-30,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",975,7396,521,20972,0.0704434829637642,0.5343589743589744,query_1,"['GO:0001775', 'GO:0002376']"
GO:BP,GO:0008104,intracellular protein localization,6.685118756691994e-30,True,"""Any process in which a protein is transported to, or maintained in, a specific location."" [GOC:ai]",2401,7396,1112,20972,0.1503515413737155,0.46314035818408994,query_1,['GO:0033036']
GO:BP,GO:0048584,positive regulation of response to stimulus,1.4948870296097615e-29,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2320,7396,1078,20972,0.14575446187128177,0.4646551724137931,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0030097,hemopoiesis,1.528287242946378e-29,True,"""The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."" [GOC:dgh, ISBN:0198506732]",971,7396,518,20972,0.07003785830178474,0.533470648815654,query_1,['GO:0048468']
GO:BP,GO:0019222,regulation of metabolic process,1.9684087408032422e-29,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",6900,7396,2817,20972,0.380881557598702,0.4082608695652174,query_1,"['GO:0008152', 'GO:0050794']"
GO:BP,GO:0023051,regulation of signaling,1.4984412270225474e-28,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3473,7396,1526,20972,0.2063277447268794,0.4393895767348114,query_1,"['GO:0023052', 'GO:0050789']"
GO:BP,GO:0050776,regulation of immune response,4.72060920439939e-28,True,"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",970,7396,513,20972,0.06936181719848566,0.5288659793814433,query_1,"['GO:0002682', 'GO:0006955', 'GO:0048583']"
GO:BP,GO:0010646,regulation of cell communication,1.1079396426825242e-27,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3480,7396,1524,20972,0.20605732828555975,0.4379310344827586,query_1,"['GO:0007154', 'GO:0050794']"
GO:BP,GO:0051239,regulation of multicellular organismal process,1.4097685225970908e-27,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2923,7396,1307,20972,0.17671714440237968,0.4471433458775231,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0002684,positive regulation of immune system process,3.2329576865513356e-27,True,"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]",1111,7396,571,20972,0.07720389399675501,0.5139513951395139,query_1,"['GO:0002376', 'GO:0002682', 'GO:0048518']"
GO:BP,GO:1902531,regulation of intracellular signal transduction,7.747739616639302e-27,True,"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",1945,7396,915,20972,0.12371552190373175,0.4704370179948586,query_1,"['GO:0009966', 'GO:0035556']"
GO:BP,GO:0046649,lymphocyte activation,2.830156260931549e-26,True,"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]",811,7396,438,20972,0.05922120064899946,0.5400739827373613,query_1,['GO:0045321']
GO:BP,GO:0006351,DNA-templated transcription,3.765170223924852e-26,True,"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]",3523,7396,1532,20972,0.2071389940508383,0.43485665625887027,query_1,"['GO:0010467', 'GO:0032774']"
GO:BP,GO:0051234,establishment of localization,4.666823347276799e-26,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",4804,7396,2018,20972,0.27285018929150895,0.4200666111573689,query_1,['GO:0051179']
GO:BP,GO:0043412,macromolecule modification,1.5527525811650562e-25,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",2547,7396,1149,20972,0.1553542455381287,0.45111896348645464,query_1,['GO:0043170']
GO:BP,GO:0006955,immune response,2.1664817192516373e-25,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2118,7396,978,20972,0.13223363980530017,0.46175637393767704,query_1,"['GO:0002376', 'GO:0050896']"
GO:BP,GO:0060255,regulation of macromolecule metabolic process,2.2644702873587817e-25,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",6392,7396,2603,20972,0.3519469983775014,0.40722778473091364,query_1,"['GO:0019222', 'GO:0043170']"
GO:BP,GO:0006355,regulation of DNA-templated transcription,3.944310803528761e-25,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",3385,7396,1473,20972,0.19916170903190913,0.43515509601181684,query_1,"['GO:0006351', 'GO:0010468', 'GO:2001141']"
GO:BP,GO:2001141,regulation of RNA biosynthetic process,4.996265938636114e-25,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",3397,7396,1477,20972,0.1997025419145484,0.43479540771268765,query_1,"['GO:0010556', 'GO:0032774', 'GO:0051252']"
GO:BP,GO:0010557,positive regulation of macromolecule biosynthetic process,7.021373792768381e-25,True,"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",2538,7396,1142,20972,0.15440778799351002,0.4499605988967691,query_1,"['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']"
GO:BP,GO:0033554,cellular response to stress,7.9489178894995615e-25,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",1856,7396,870,20972,0.11763115197404002,0.46875,query_1,"['GO:0006950', 'GO:0051716']"
GO:BP,GO:0009891,positive regulation of biosynthetic process,1.7201429104898224e-24,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",2645,7396,1182,20972,0.15981611681990265,0.44688090737240077,query_1,"['GO:0009058', 'GO:0009889', 'GO:0009893']"
GO:BP,GO:0009056,catabolic process,3.235615627242849e-24,True,"""A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."" [ISBN:0198547684]",2641,7396,1179,20972,0.1594104921579232,0.4464218099204847,query_1,['GO:0008152']
GO:BP,GO:0002764,immune response-regulating signaling pathway,5.51714683647125e-24,True,"""The cascade of processes by which a signal interacts with a receptor, causing a change in the level or activity of a second messenger or other downstream target, and ultimately leading to the activation, perpetuation, or inhibition of an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]",562,7396,320,20972,0.04326663061114116,0.5693950177935944,query_1,"['GO:0007165', 'GO:0050776']"
GO:BP,GO:0032502,developmental process,6.29514754281238e-24,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6535,7396,2645,20972,0.35762574364521366,0.404743687834736,query_1,['GO:0008150']
GO:BP,GO:0141124,intracellular signaling cassette,1.0233047740938204e-23,True,"""An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways."" [GOC:ha, GOC:pg]",1866,7396,869,20972,0.11749594375338021,0.46570203644158625,query_1,['GO:0035556']
GO:BP,GO:0002521,leukocyte differentiation,6.244749947335752e-23,True,"""The process in which a relatively unspecialized hemopoietic precursor cell acquires the specialized features of a leukocyte. A leukocyte is an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."" [CL:0000738, GOC:add, PMID:16551264]",628,7396,347,20972,0.046917252568956194,0.552547770700637,query_1,"['GO:0030097', 'GO:0030154']"
GO:BP,GO:0051649,establishment of localization in cell,7.292664885616966e-23,True,"""Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]",1938,7396,894,20972,0.12087614926987561,0.4613003095975232,query_1,"['GO:0051234', 'GO:0051641']"
GO:BP,GO:1903131,mononuclear cell differentiation,9.391762428410095e-23,True,"""The process in which a relatively unspecialized cell acquires the specialized features of a mononuclear cell."" [CL:0000842, GO_REF:0000086, GOC:TermGenie, PMID:24759906]",523,7396,299,20972,0.04042725797728502,0.5717017208413002,query_1,['GO:0002521']
GO:BP,GO:0002253,activation of immune response,1.2593157497014369e-22,True,"""Any process that initiates an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",581,7396,325,20972,0.04394267171444024,0.5593803786574871,query_1,"['GO:0002376', 'GO:0050778']"
GO:BP,GO:0036211,protein modification process,1.4273496973705153e-22,True,"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]",2360,7396,1060,20972,0.1433207138994051,0.4491525423728814,query_1,"['GO:0019538', 'GO:0043412']"
GO:BP,GO:0030098,lymphocyte differentiation,1.4969570331322717e-22,True,"""The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."" [CL:0000542, GOC:go_curators]",427,7396,254,20972,0.03434288804759329,0.594847775175644,query_1,"['GO:0046649', 'GO:1903131']"
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,2.22384204593942e-22,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1777,7396,827,20972,0.11181719848566793,0.46539110861001687,query_1,['GO:0008150']
GO:BP,GO:0050778,positive regulation of immune response,2.477873384704533e-22,True,"""Any process that activates or increases the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",775,7396,410,20972,0.05543537047052461,0.5290322580645161,query_1,"['GO:0002684', 'GO:0006955', 'GO:0048584', 'GO:0050776']"
GO:BP,GO:0080134,regulation of response to stress,3.427825124612894e-22,True,"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]",1410,7396,677,20972,0.0915359653866955,0.48014184397163123,query_1,"['GO:0006950', 'GO:0048583']"
GO:BP,GO:0046907,intracellular transport,8.556572146257981e-22,True,"""The directed movement of substances within a cell."" [GOC:ai]",1375,7396,661,20972,0.08937263385613846,0.4807272727272727,query_1,"['GO:0006810', 'GO:0051641', 'GO:0051649']"
GO:BP,GO:0009605,response to external stimulus,1.4359516330007047e-21,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2427,7396,1081,20972,0.14616008653326124,0.4454058508446642,query_1,['GO:0050896']
GO:BP,GO:0002757,immune response-activating signaling pathway,2.598369220573294e-21,True,"""The series of molecular signals generated by a ligand binding to its receptor that lead to the activation or perpetuation of an immune response."" [GOC:add]",516,7396,292,20972,0.03948080043266631,0.5658914728682171,query_1,"['GO:0002253', 'GO:0002764']"
GO:BP,GO:0006952,defense response,3.2546167070179986e-21,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1883,7396,864,20972,0.11681990265008113,0.45884227296866703,query_1,['GO:0006950']
GO:BP,GO:0051128,regulation of cellular component organization,3.3210930363151062e-21,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2427,7396,1079,20972,0.1458896700919416,0.4445817882159044,query_1,"['GO:0016043', 'GO:0050794']"
GO:BP,GO:0050865,regulation of cell activation,4.979973658408458e-21,True,"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]",627,7396,341,20972,0.04610600324499729,0.543859649122807,query_1,"['GO:0001775', 'GO:0050794', 'GO:0051239']"
GO:BP,GO:0006793,phosphorus metabolic process,1.4969875302091355e-20,True,"""The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus."" [GOC:ai]",2199,7396,986,20972,0.1333153055705787,0.4483856298317417,query_1,['GO:0008152']
GO:BP,GO:0006796,phosphate-containing compound metabolic process,2.1355594983501306e-20,True,"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]",2196,7396,984,20972,0.13304488912925905,0.44808743169398907,query_1,['GO:0006793']
GO:BP,GO:0048856,anatomical structure development,3.058458465893243e-20,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5948,7396,2402,20972,0.3247701460248783,0.40383322125084065,query_1,['GO:0032502']
GO:BP,GO:0006366,transcription by RNA polymerase II,4.9286097479582494e-20,True,"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]",2827,7396,1228,20972,0.1660356949702542,0.4343827378846834,query_1,['GO:0006351']
GO:BP,GO:0051246,regulation of protein metabolic process,5.821506407806809e-20,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",1574,7396,734,20972,0.09924283396430503,0.4663278271918678,query_1,"['GO:0019538', 'GO:0060255', 'GO:0080090']"
GO:BP,GO:0002694,regulation of leukocyte activation,8.438132398246627e-20,True,"""Any process that modulates the frequency, rate, or extent of leukocyte activation."" [GOC:add]",572,7396,313,20972,0.04232017306652244,0.5472027972027972,query_1,"['GO:0002682', 'GO:0045321', 'GO:0050865']"
GO:BP,GO:0007165,signal transduction,1.063446265967435e-19,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6063,7396,2440,20972,0.3299080584099513,0.4024410357908626,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:BP,GO:0009607,response to biotic stimulus,1.8947760859139716e-19,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",1652,7396,763,20972,0.1031638723634397,0.461864406779661,query_1,['GO:0050896']
GO:BP,GO:0009889,regulation of biosynthetic process,1.960436933406552e-19,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",5821,7396,2349,20972,0.31760411032990804,0.4035389108400618,query_1,"['GO:0009058', 'GO:0019222']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,1.9920195289218023e-19,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2834,7396,1227,20972,0.16590048674959437,0.43295695130557516,query_1,['GO:0007165']
GO:BP,GO:0006357,regulation of transcription by RNA polymerase II,5.545105882295412e-19,True,"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]",2688,7396,1168,20972,0.15792320173066524,0.43452380952380953,query_1,"['GO:0006355', 'GO:0006366']"
GO:BP,GO:0023052,signaling,6.125539997348594e-19,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6558,7396,2615,20972,0.3535694970254191,0.3987496187862153,query_1,['GO:0050789']
GO:BP,GO:0016192,vesicle-mediated transport,7.394864582580701e-19,True,"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]",1572,7396,728,20972,0.09843158464034614,0.4631043256997455,query_1,"['GO:0006810', 'GO:0009987']"
GO:BP,GO:0010556,regulation of macromolecule biosynthetic process,8.326099765295137e-19,True,"""Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",5647,7396,2280,20972,0.30827474310438074,0.4037542057729768,query_1,"['GO:0009059', 'GO:0009889', 'GO:0060255']"
GO:BP,GO:0051249,regulation of lymphocyte activation,1.406392055556306e-18,True,"""Any process that modulates the frequency, rate or extent of lymphocyte activation."" [GOC:ai]",506,7396,280,20972,0.03785830178474851,0.5533596837944664,query_1,"['GO:0002694', 'GO:0046649']"
GO:BP,GO:0048869,cellular developmental process,1.9179256939632534e-18,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4444,7396,1831,20972,0.24756625202812332,0.412016201620162,query_1,"['GO:0009987', 'GO:0032502']"
